sample_idx,party,year,text,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization
0,bbb,2021,"Alle stikstofmaatregelen gaan van tafel en er komen geen nieuwe maatregelen. Zolang de agrarische sector onder het, door de EU verplichte, stikstofplafond blijft, is er in principe geen enkele reden om via miljarden kostende stikstofmaatregelen de natuur te herstellen. Er wordt gekeken naar doelmatige alternatieven voor de stikstofmaatregelen. Een verzuurd natuurgebied kan bijvoorbeeld heel eenvoudig worden hersteld door het toevoegen van kalk. Een methode die door boeren en tuinders al eeuwen wordt toegepast op hun eigen bodem. Ratio gaat boven emotie. De zogenoemde Kritische Depositiewaardes (de hoeveelheid stikstof die mag neerslaan op een natuurgebied) zijn onhaalbaar. Als alle vee, alle verkeer, alle mensen, alle luchtvaart en alle industrie uit Nederland is verdwenen, dan nog is de stikstofdepositie in tientallen natuurgebieden te hoog. Er komen haalbare normen waardoor het mooie karakteristieke Hollandse landschap beschermd en beheerd blijft.",4,1,3,1,2,1,3
1,bbb,2021,De emissies en vastlegging van broeikasgassen worden verrekend (dus uitstoot minus vastlegging). Dat is de werkelijke uitstoot.,1,1,2,1,1,1,1
2,bbb,2023,We zijn voor een CO2-heffing op transport van producten bij de import naar de EU.,2,1,1,1,1,1,1
3,bbb,2023,"We willen de luchtvaartsector de kans geven om verder en sneller te innoveren en toe te werken naar een schone toekomst. Goede en toegankelijke luchtvracht en een goed netwerk van internationale verbindingen is en blijft van belang voor ons bedrijfsleven en ons vestigingsklimaat. Versnelling van de verduurzaming van de luchtvaart, waarbij de door Nederland recent verhoogde vliegticketbelasting wordt 'geoormerkt' voor deze versnelling alsmede aan het nog verder stimuleren van (inter)nationaal reizen per trein en bus. De afbouw van de accijnsvrijstelling op fossiele brandstoffen voor bepaalde sectoren (o.a. luchtvaart) zal op internationaal niveau worden besproken. De Nederlandse luchthavens zullen luchtvaartmaatschappijen binnen de wetgeving prikkelen om moderne vliegtuigen in te zetten door middel van een bonus- malussysteem (tariefdifferentiatie) van de havengelden. Het maximum aantal vluchten van en naar Schiphol zullen we 'bevriezen'. Eventuele toekomstige extra vluchten op Schiphol zijn alleen mogelijk bij een toonaangevende afname van de geluidshinder en milieu­gebruiksruimte.",4,1,1,2,2,2,1
4,bbb,2023,fossiele brandstoffen voor bepaalde sectoren (o.a. luchtvaart) zal op internationaal niveau worden besproken. De Nederlandse luchthavens zullen luchtvaartmaatschappijen binnen de wetgeving prikkelen om moderne vliegtuigen in te zetten door middel van een bonus- malussysteem (tariefdifferentiatie) van de havengelden.,3,1,1,1,2,1,1
5,bbb,2023,"De bevolking van Afrika zal meer dan verdubbelen tegen 2050 en is in rap tempo aan het industrialiseren. Ondertussen heeft het continent grote hoeveelheden edelmetalen en zullen de gevolgen van klimaatverandering en voedselproductie groter maken. Landen als Rusland en China zien het grote belang van Afrika en koloniseren de strategisch relevante gebieden. Zichzelf respecterende democratische landen zullen daar een antwoord op moeten hebben. BBB wil daarom investeren in, en relaties verbeteren met, Afrika.",2,1,2,4,2,1,1
6,bbb,2023,"De energietransitie speelt bij het behalen van CO2-doelstellingen een belangrijke rol. De energietransitie vraagt om een Deltaplan. Nieuwe activiteiten zullen moeten worden opgebouwd, terwijl andere activiteiten worden om- of afgebouwd. Dit veranderproces vraagt grote investeringen door bedrijven, veelal zullen de prijsstijgingen die daar het gevolg van zijn, worden doorbelast aan de burger. De burger moet deze lastenverzwaring wel kunnen blijven dragen. Daarom zetten wij in op een rechtvaardige verdeling van de kosten die samengaan met de klimaatmaatregelen.",4,3,2,1,1,1,1
7,bbb,2023,"We investeren in kernenergie als een bron van duurzame energie door de huidige nieuwbouw van geplande kerncentrales te versnellen en aan te vullen met kleine SMR (small modular reactors), zodat we 24 uur per dag elektriciteit, waterstof en warmte kunnen produceren waarbij we reactoren op strategische plekken plaatsen om zo het transport van deze energie tot een minimum te houden.",2,1,1,3,1,2,1
8,bbb,2023,"Om de woningzoekenden en bouwers enige rust te bieden, maken we pas op de plaats met aanvullende duurzaamheidseisen aan nieuwbouwwoningen. Zo willen we nieuwbouwprojecten betaalbaar maar ook haalbaar maken. BBB zet voor wat betreft de verdere verduurzaming vooral in op de bestaande woningvoorraad. De laagste inkomens hebben het meeste last van de hoge energieprijzen en mensen met lage inkomens wonen vaak in sociale huurwoningen.",4,1,1,1,1,1,2
9,cda,2010,"Nederland moet daarbij focussen en investeren op terreinen waar Nederlandse instellingen en bedrijven veel kennis en expertise te bieden hebben: landbouw, voedselvoorziening, water en sanitatie, schone (alternatieve) energie, opbouw van de rechtsstaat en de internationale strijd tegen aids.",2,1,1,1,1,1,1
