motie_id,party,year,text,bloc,source,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization,voice_n_sentences,voice_n_passive,voice_n_active,voice_prop_passive,voice_prop_active,neg_n_sentences,neg_n_negated,neg_prop_negated,mod_n_sentences,mod_prop_obligation,mod_prop_possibility,mod_prop_hedging,mod_prop_negation_mod,mod_prop_any_modal
,BBB,2021,"Zeker nu groen (weilanden, coulissenlandschappen) dreigt te worden ingeruild voor grijs (industrie, zonneparken, distributie- en datacentra, wegen) is het meer dan noodzakelijk dat de stem van én voor het platteland wordt vertegenwoordigd in Den Haag.",Right,manifestos,1,1,1,1,2,1,3,2,2,0,1.0,0.0,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,BBB,2021,"Het kwartje van Kok moet, zoals 30 jaar geleden al beloofd, nu eindelijk maar eens worden afgeschaft. Met andere woorden: de brandstofaccijnzen moeten worden teruggebracht met dit bedrag. Dit levert het bedrijfsleven een grote kostenbesparing op en de overheid toont zich dan eindelijk een betrouwbare partner.",Right,manifestos,4,1,1,1,1,1,1,3,2,1,0.6666666666666666,0.3333333333333333,3,0,0.0,3,0.6666666666666666,0.0,0.0,0.0,0.6666666666666666
,BBB,2021,Het landschap is evenveel waard als het klimaat. Er komen geen zonnepanelen in het buitengebied zolang er nog lege daken en terreinen zijn. Nieuwe zonneparken worden getoetst aan de 'zonneladder' of een vergelijkbaar afwegingskader.,Right,manifestos,1,1,1,1,1,1,2,2,1,1,0.5,0.5,3,1,0.3333333333333333,3,0.0,0.0,0.0,0.0,0.0
,BBB,2021,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt.",Right,manifestos,2,1,2,1,2,1,1,4,3,1,0.75,0.25,4,0,0.0,4,0.25,0.25,0.0,0.0,0.5
,BBB,2021,"BBB is echter het meest voor kernenergie als schone energiebron. Voor een structurele energieproductie, zonder aantasting van ons mooie landschap, zonder aanpassing van ons energienet kunnen veilige kerncentrales gebouwd worden. Geen CO2 uitstoot en een goedkope grondstof. Nieuwe technieken bieden nieuwe veilige inzichten: w.o. kernenergie.",Right,manifestos,2,1,1,1,1,1,1,2,1,1,0.5,0.5,4,1,0.25,4,0.0,0.25,0.0,0.0,0.25
,BBB,2021,"Er wordt een breed palet aan energiebronnen ingezet. De energietransitie krijgt een realistisch tempo waarbij betrouwbaarheid en betaalbaarheid voorop staan. Nieuwe technologieën bieden nieuwe veilige inzichten: w.o. kernenergie. Groenafval wordt niet gestookt in biomassacentrales, maar ingezet ter verbetering van de bodem en bevordering van de groei van planten.",Right,manifestos,3,1,1,2,1,1,1,4,2,2,0.5,0.5,4,1,0.25,4,0.0,0.0,0.0,0.0,0.0
,BBB,2021,"Alle stikstofmaatregelen gaan van tafel en er komen geen nieuwe maatregelen. Zolang de agrarische sector onder het, door de EU verplichte, stikstofplafond blijft, is er in principe geen enkele reden om via miljarden kostende stikstofmaatregelen de natuur te herstellen. Er wordt gekeken naar doelmatige alternatieven voor de stikstofmaatregelen. Een verzuurd natuurgebied kan bijvoorbeeld heel eenvoudig worden hersteld door het toevoegen van kalk. Een methode die door boeren en tuinders al eeuwen wordt toegepast op hun eigen bodem. Ratio gaat boven emotie. De zogenoemde Kritische Depositiewaardes (de hoeveelheid stikstof die mag neerslaan op een natuurgebied) zijn onhaalbaar. Als alle vee, alle verkeer, alle mensen, alle luchtvaart en alle industrie uit Nederland is verdwenen, dan nog is de stikstofdepositie in tientallen natuurgebieden te hoog. Er komen haalbare normen waardoor het mooie karakteristieke Hollandse landschap beschermd en beheerd blijft.",Right,manifestos,3,1,3,1,2,1,3,9,5,4,0.5555555555555556,0.4444444444444444,9,2,0.2222222222222222,9,0.0,0.2222222222222222,0.0,0.0,0.2222222222222222
,BBB,2021,In steden wordt meer groen aangelegd voor de recreatie en ontspanning van de stadsbewoners. Dit is goed voor het klimaat en zorgt voor minder hoge temperaturen in de volle en drukke stad.,Right,manifestos,1,1,1,1,2,1,1,2,1,1,0.5,0.5,2,0,0.0,2,0.0,0.0,0.0,0.0,0.0
,BBB,2023,"Zolang veranderingen in de landbouw worden uitgedrukt in stikstof, koeien en geld, slaan we de plank mis. Wat is, behalve de ecologische impact, de sociale en maatschappelijke impact van de landbouw transitie? Daar zou het over moeten gaan.",Right,manifestos,1,1,1,1,3,1,2,2,1,1,0.5,0.5,3,0,0.0,3,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
,BBB,2023,"Ja, het kan nog veel duurzamer, maar het pad daarheen moet menselijker, realistischer en waardiger. Als we kiezen voor een klimaatrevolutie in plaats van -evolutie dan zal onze industrie instorten en zullen veel mensen de strijd tegen klimaatverandering de rug toekeren. We moeten kijken naar draagbaarheid, haalbaarheid en uitvoerbaarheid van klimaatbeleid. Ook dit moeten we niet vanuit 1 perspectief bekijken, de maatschappelijke en sociale impact meewegen zijn cruciale ingrediënten voor succes.",Right,manifestos,2,2,1,1,2,1,2,3,0,3,0.0,1.0,4,1,0.25,4,0.75,0.0,0.0,0.0,0.75
