sample_idx,motie_id,frame,trigger,filler,party,year,gold_actor_span,gold_actor_cat,gold_patient_span,gold_patient_cat,pred_actor_spans,pred_actor_cat,pred_patient_spans,pred_patient_cat
0,61a9107b-1a88-441a-ab78-927ecb560d90,Cogitation,overwegende,dat de melkveehouderij forse inspanningen geleverd heeft om binnen de milieugebruiksruimtes te produceren;,BBB,2022,de melkveehouderij,Agriculture,forse inspanningen,Other,de melkveehouderij,Agriculture,forse inspanningen|de milieugebruiksruimtes,Government|Nature
1,7e2e2cc9-9b68-4f07-9149-1023ddc49333,Cogitation,overwegende,dat niet-commerciële stadsherstelorganisaties geen toegang hebben tot de subsidieregeling voor woonhuismonumenten (WHR) noch tot de Subsidieregeling instandhouding monumenten en dat zij evenmin voordelen genieten op grond van de vennootschapsbelasting;,BBB,2021,niet-commerciële stadsherstelorganisaties,Other,toegang,Other,niet-commerciële stadsherstelorganisaties,Other,geen toegang|de subsidieregeling|voordelen|de vennootschapsbelasting,Other|Government|Other|Government
2,de6c6e4d-8ea0-4b47-b27d-a4ee04ec3d85,Cogitation,overwegende,Motie van het lid Van der Plas over een generaal pardon voor alle melders die onder het PAS hebben gehandeld en te goeder trouw aan alle voorschriften hebben voldaan,BBB,2023,het lid Van der Plas,Government,alle melders die onder het PAS hebben gehandeld,Agriculture,,,het PAS,Government
3,7656dc76-840c-45eb-b584-19860a5a0206,Statement,spreken,"dat Nederland deze verordening natuurherstel niet zal implementeren, met verwijzing naar 16, lid c, in de Habitatrichtlijn, zodat Nederland, met oog voor natuurherstel het land niet verder op slot hoeft te zetten,",BBB,2023,Nederland,Government,deze verordening natuurherstel,Nature,,,deze verordening|verwijzing|Habitatrichtlijn|natuurherstel|het land|slot,Government|Other|Nature|Nature|Other|Other
4,ebc4e9c4-8901-41cd-a083-25b8a34cb9f4,Statement,constaterende,"dat de situatie van deze ondernemers, die te goeder trouw hebben gehandeld, met de dag schrijnender wordt, nu in de provincie Overijssel handhaving dreigt;",BBB,2022,,,de situatie van deze ondernemers,Industry,handhaving,Government,de provincie,Government
5,2434f804-7afd-45db-b516-72e44f904613,Cogitation,overwegende,dat er met deze chemisch-analytische meetmethode een degelijke en objectieve meetmethode gebruikt kan worden;,BBB,2023,,,een degelijke en objectieve meetmethode,Science,een degelijke en objectieve meetmethode,Science,deze chemisch-analytische meetmethode,Science
6,c30e3b55-05ed-4a4a-97f3-7c21ce8d57c9,Cogitation,overwegende,"dat naast «niet ploegen» ook precisiebemesting en -bespuiting wezenlijke bijdragen kunnen leveren aan verduurzaming van de akkerbouw, maar niet genoemd worden als optie voor de ecoregeling in de laatste versie van het NSP;",BBB,2021,precisiebemesting en -bespuiting,Agriculture,verduurzaming van de akkerbouw,Agriculture,,,ploegen|ook precisiebemesting|verduurzaming,Agriculture|Agriculture|Other
7,21a2a379-53df-4556-a7bf-4721361f8782,Cogitation,overwegende,dat boeren stimuleren om meer CO2 in de bodem vast te leggen zowel goed is voor het klimaat als voor het inkomen van de boeren;,BBB,2022,,,boeren,Agriculture,boeren,Agriculture,meer CO2|het klimaat,Nature|Nature
8,84c7e6dc-76a1-4e91-971c-c1c9d7da242e,Statement,zegt,"dat alle sectoren evenredig moeten bijdragen aan de reductie van stikstof, maar Schiphol juist voorsorteert op een hogere stikstofuitstoot;",BBB,2022,alle sectoren,Industry,de reductie van stikstof,Nature,alle sectoren|Schiphol,Industry|Government,de reductie,Other
9,4e907a01-7689-481c-b3a6-f2d17764da69,Statement,stellen,"dat Nederland een nieuwe kans moet krijgen Europese Natura 2000-wetgeving wetenschappelijk in te vullen, op basis van het adaptievermogen van de natuur,",BBB,2021,Nederland,Government,Europese Natura 2000-wetgeving,International,,,Europese Natura 2000-wetgeving,International
10,46409114-6e11-4563-ba2c-c79aa7650fbc,Statement,constaterende,dat handelsakkoorden waar de landbouw in is opgenomen leiden tot forse extra import van goedkope landbouwproducten uit landen elders; overwegende dat die landen vaak onder lagere productiestandaarden produceren en dat dit leidt tot een forse toename van oneerlijke concurrentie voor Nederlandse boeren;,BBB,2021,handelsakkoorden waar de landbouw in is opgenomen,International,Nederlandse boeren,Agriculture,handelsakkoorden|de landbouw in|landen,International|Agriculture|International,forse extra import van goedkope landbouwproducten uit landen elders|lagere productiestandaarden|een forse toename,Agriculture|Industry|Other
11,dd67a524-369b-4236-892a-d208459e1c7c,Statement,constaterende,dat veel parkeerplaatsen betegeld zijn;,BBB,2023,,,veel parkeerplaatsen,Other,veel parkeerplaatsen,Citizens,,
12,633bab81-370c-467e-8c0e-047a747dfa8a,Statement,constaterende,"dat de in 2020 een streep heeft gezet door het EU-Mercosur-verdrag, onder meer omdat dit verdrag leidt tot een forse toename van oneerlijke concurrentie voor Europese boeren, omdat er in het verleden is gesjoemeld met de veiligheid van voor de export naar Europa bestemd vlees en omdat het verdrag leidt tot extra ontbossing van de Amazone;",BBB,2023,de,Government,het EU-Mercosur-verdrag,International,dit verdrag|het verdrag,International|International,een streep|EU-Mercosur-verdrag|een forse toename|het verleden|de veiligheid|extra ontbossing,Other|International|Other|Other|Other|Nature
13,a342be40-75cd-47ff-8e0a-3c05f93823cd,Statement,constaterende,dat de Implementatiewet richtlijnen verkoop goederen en levering digitale inhoud een verbod behelst op het vragen van een gebruiksvergoeding door ondernemers aan consumenten;,BBB,2022,de Implementatiewet richtlijnen verkoop goederen en levering digitale inhoud,Government,het vragen van een gebruiksvergoeding door ondernemers aan consumenten,Industry,goederen,Industry,digitale inhoud|een verbod,Other|Other
14,8bea5f8d-3dc8-4dfb-bc75-65911da1f402,Cogitation,overwegende,dat het Eemsdeltagebied toekomstbestendig en goed bereikbaar moet blijven in het belang van Nederland en de regio;,BBB,2022,,,het Eemsdeltagebied,Other,het Eemsdeltagebied,Nature,,
15,21a2a379-53df-4556-a7bf-4721361f8782,Statement,constaterende,"dat de Minister op de informele EU-Raad Landbouwministers op bezoek bij een Franse boer heeft gezien hoe carbon farming een positieve bijdrage kan leveren aan het inkomen van boeren; overwegende dat boeren stimuleren om meer CO2 in de bodem vast te leggen zowel goed is voor het klimaat als voor het inkomen van de boeren; overwegende dat een retailer in België al gestart is met extra begeleiding om vijftien koolstofboeren op te leiden; verzoekt de Minister om ook met retailers om tafel te gaan en ze te stimuleren en faciliteren om ook voor Nederlandse boeren een dergelijk project te starten om zo de kennisontwikkeling op dit gebied te bevorderen,",BBB,2022,de Minister,Government,retailers,Industry,de Minister|boeren|een retailer|de Minister,Government|Agriculture|Industry|Government,een Franse boer|het inkomen|meer CO2|het klimaat|extra begeleiding|koolstofboeren|retailers|tafel,Agriculture|Citizens|Nature|Nature|Other|Agriculture|Industry|Other
16,ff40cd40-7a03-4551-9fb1-6dd4bfb50326,Cogitation,overwegende,dat er veel meer criteria zijn dan alleen grondgebondenheid die vallen onder «duurzaam» en dat door extra duurzaamheidsdoelen in de fosfaatbank op te nemen een deel van de knelgevallen tegemoetgekomen kan worden;,BBB,2021,,,een deel van de knelgevallen,Other,meer criteria,Other,extra duurzaamheidsdoelen,Government
17,cdaa015b-94bb-4be5-932e-18b745652248,Cogitation,overwegende,"dat zowel de VN, de Wereldgezondheidsorganisatie WHO als het Rode Kruis alarm slaan over voedselschaarste",BBB,2022,"zowel de VN, de Wereldgezondheidsorganisatie WHO als het Rode Kruis",International,voedselschaarste,Other,,,Rode|alarm,Other|Other
18,e3f41678-40bb-4ac8-bfe1-08d76e7d6309,Statement,constaterende,dat er elk jaar miljoenen subsidie naar TBO’s zoals Staatsbosbeheer en Natuurmonumenten gaan voor natuurbeheer en -herstel en dat zij geen exacte verantwoording hoeven af te leggen over doelmatige besteding van dit geld;,BBB,2021,TBO's zoals Staatsbosbeheer en Natuurmonumenten,Nature,miljoenen subsidie,Government,Staatsbosbeheer,Nature,natuurbeheer|geen exacte verantwoording|doelmatige besteding,Nature|Other|Government
19,ce2ea27b-19ea-466f-8ed5-7839d5674dbd,Cogitation,overwegende,dat laagenergetische halsbanden veel minder welzijnsrisico’s met zich meebrengen dan hoogenergetische halsbanden;,BBB,2021,laagenergetische halsbanden,Other,welzijnsrisico's,Other,laagenergetische halsbanden,Energy,minder welzijnsrisico,Citizens
20,04decd16-e2f7-47c6-a839-f0c67d17ed0f,Statement,constaterende,"dat wind op zee met het streefdoel van 21 gigawatt 42 miljard euro gaat kosten en de financiering onduidelijk is, zowel bij de windturbines als het netwerk;",BBB,2023,wind op zee,Energy,42 miljard euro,Other,wind|de financiering,Energy|Other,het streefdoel|de windturbines,Government|Energy
21,caa66b76-22b2-4f45-bbf8-704f7e73d4dc,Statement,constaterende,"dat een transitie naar duurzame energie voor deze sectoren uitvoerbaar en betaalbaar moet zijn; verzoekt de regering om een evaluatie van de effecten van de energietransitie op specifieke sectoren en deze evaluaties periodiek aan de Kamer te rapporteren,",BBB,2024,een transitie naar duurzame energie,Energy,deze sectoren,Other,,,een evaluatie|deze evaluaties,Other|Other
22,506d5f12-ad8c-4d0d-a488-f35c2f71257f,Statement,constaterende,dat emissies die industriële bedrijven uitstoten niet altijd overeenkomen met wat zij opgeven;,BBB,2022,industriële bedrijven,Industry,emissies,Other,emissies,Nature,industriële bedrijven,Industry
23,e94777c4-0da4-4bc7-9986-17b202e7cf7b,Cogitation,overwegende,"dat het onacceptabel is dat Eurocommissarissen of welke bewindspersonen dan ook, gekozen volksvertegenwoordigers op deze wijze benaderen;",BBB,2023,Eurocommissarissen of welke bewindspersonen dan ook,International,gekozen volksvertegenwoordigers,Government,Eurocommissarissen,International,gekozen volksvertegenwoordigers,Government
24,6bc8b0c6-2f1f-46bb-bf02-296edcb68ed2,Cogitation,overwegende,"dat de rechtbank heeft gezegd dat het feit dat studenten in diverse woonsituaties zitten, niet gebruikt kan worden als argument om studenten uit te sluiten van de energietoeslag;",BBB,2022,de rechtbank,Government,studenten,Citizens,de rechtbank|studenten,Other|Citizens,diverse woonsituaties|studenten|de energietoeslag,Citizens|Citizens|Energy
25,b008b655-d0d2-4404-8bb6-efeab1517ffb,Statement,constaterende,Motie van het lid Van der Plas over een voedseltoets toepassen bij klimaat- en biodiversiteitsplannen,BBB,2025,het lid Van der Plas,Government,een voedseltoets,Other,,,een voedseltoets|klimaat-,Agriculture|Nature
