id,title,date,submitters,fractions,case_num,case_title,case_subject,cabinet_appreciation,url,text,normalized_text,predicted_label_id,predicted_topic,economic,moral,scientific,security,health_environment,crisis_urgency,weaponization,dominant_frame,dominant_frame_score,n_frames_present,has_parse_failure
eda65978-7479-4787-ae5f-b61c9b1b3d88,Zee- en kustvisserij,2008-10-29 00:00:00+01:00,"[{'Naam': 'W. van Gent', 'Fractie': 'GroenLinks', 'Relatie': 'Medeindiener'}, {'Naam': 'E. Ouwehand', 'Fractie': 'PvdD', 'Relatie': 'Indiener'}]",GroenLinks; PvdD,2008Z05445,Zee- en kustvisserij,Motie Ouwehand en Van Gent een actieprogramma voor beschermining van gebieden op de Noordzee,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z05445&did=2008D12630,"29 675 Zee- en kustvisserij
Nr. 52 MOTIE VAN DE LEDEN OUWEHAND EN VAN GENT
Voorgesteld 29 oktober 2008
De Kamer,
gehoord de beraadslaging,
constaterende, dat de Noordzee een natuurgebied is dat sterk onder druk
staat, zoals recent weer bevestigd in de Natuurbalans 2008;
constaterende, dat het kabinet erkent dat er voor de bescherming van
mariene gebieden een inhaalslag nodig is, maar dat geen sprake is van
een krachtig en coherent programma voor de realisering hiervan;
verzoekt de regering een helder actieprogramma op te stellen voor het
beschermen van gebieden op de Noordzee, met afrekenbare deadlines en
voldoende budget,
en gaat over tot de orde van de dag.
Ouwehand
Van Gent
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST123690
0809tkkst29675-52
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 29 675, nr. 52","Motie Ouwehand en Van Gent een actieprogramma voor beschermining van gebieden op de Noordzee gehoord de beraadslaging, constaterende, dat de Noordzee een natuurgebied is dat sterk onder druk staat, zoals recent weer bevestigd in de Natuurbalans 2008; constaterende, dat het kabinet erkent dat er voor de bescherming van mariene gebieden een inhaalslag nodig is, maar dat geen sprake is van een krachtig en coherent programma voor de realisering hiervan; verzoekt de regering een helder actieprogramma op te stellen voor het beschermen van gebieden op de Noordzee, met afrekenbare deadlines en voldoende budget,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
1a5d3b92-7ab1-4ed3-a3c0-7a1297dc0284,Energierapport 2008,2008-11-17 00:00:00+01:00,"[{'Naam': 'C.C.M. Vendrik', 'Fractie': 'GroenLinks', 'Relatie': 'Medeindiener'}, {'Naam': 'P.F.C. (Paulus) Jansen', 'Fractie': 'SP', 'Relatie': 'Indiener'}]",GroenLinks; SP,2008Z06907,Energierapport 2008,Motie Jansen en Vendrik over het in ere herstellen van het Elektriciteitsplan ,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z06907&did=2008D16111,"31 510 Energierapport 2008
Nr. 8 MOTIE VAN DE LEDEN JANSEN EN VENDRIK
Voorgesteld tijdens het Notaoverleg van 17 november 2008
De Kamer,
gehoord de beraadslaging,
overwegende, dat een optimale combinatie van brandstofmix, centraal/
decentraal vermogen, locatiekeuzen en infrastructuur van belang is voor
de realisatie van een duurzame elektriciteitsvoorziening tegen de laagste
maatschappelijke kosten;
verzoekt de regering om binnen een jaar een voorstel aan de Kamer voor
te leggen om het Elektriciteitsplan in ere te herstellen, rekening houdend
met de inmiddels gewijzigde omstandigheden, in het bijzonder Europese
wetgeving,
en gaat over tot de orde van de dag.
Jansen
Vendrik
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST124655
0809tkkst31510-8
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 510, nr. 8","Motie Jansen en Vendrik over het in ere herstellen van het Elektriciteitsplan gehoord de beraadslaging, overwegende, dat een optimale combinatie van brandstofmix, centraal/ decentraal vermogen, locatiekeuzen en infrastructuur van belang is voor de realisatie van een duurzame elektriciteitsvoorziening tegen de laagste maatschappelijke kosten; verzoekt de regering om binnen een jaar een voorstel aan de Kamer voor te leggen om het Elektriciteitsplan in ere te herstellen, rekening houdend met de inmiddels gewijzigde omstandigheden, in het bijzonder Europese wetgeving,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
95b20a59-b801-477d-917a-2b6e11625974,Energierapport 2008,2008-11-17 00:00:00+01:00,"[{'Naam': 'E.E. Wiegman-van Meppelen Scheppink', 'Fractie': 'ChristenUnie', 'Relatie': 'Medeindiener'}, {'Naam': 'J.W.M.M.J. Hessels', 'Fractie': 'CDA', 'Relatie': 'Indiener'}, {'Naam': 'D.M. Samsom', 'Fractie': 'PvdA', 'Relatie': 'Medeindiener'}]",CDA; ChristenUnie; PvdA,2008Z06902,Energierapport 2008,Motie Hessels c.s. over participatie van TenneT in een project voor het aanleggen van een elektriciteitsbuffer ,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z06902&did=2008D16104,"31 510 Energierapport 2008
Nr. 5 MOTIE VAN HET LID HESSELS C.S.
Voorgesteld tijdens het Notaoverleg van 17 november 2008
De Kamer,
gehoord de beraadslaging,
overwegende, dat een verregaande toename van duurzame en decentrale
opwekking van elektriciteit zal leiden tot een groot beroep op de balanceringscapaciteit van het elektriciteitsnet;
overwegende, dat opname van een grootschalige elektriciteitsbuffer in de
hoofdinfrastructuur een belangrijk aandeel zou kunnen hebben binnen de
benodigde balanceringscapaciteit;
overwegende, dat deelname door netbeheerder TenneT in een dergelijke
grootschalige elektriciteitsbuffer in lijn zou zijn met de taakopdracht van
TenneT om het net te balanceren, waarbij TenneT maximaal de elders te
besparen kosten voor balanshandhaving kan inbrengen;
spreekt uit dat het wenselijk is dat – indien een dergelijke grootschalige
elektriciteitsbuffer binnen een privaat project gerealiseerd wordt – deze
buffer opgenomen wordt in het landelijk elektriciteitsnet;
verzoekt de regering te bevorderen dat netbeheerder TenneT omwille van
de balancering van het net zal participeren binnen een project om een
grootschalige elektriciteitsbuffer aan te leggen,
en gaat over tot de orde van de dag.
Hessels
Samsom
Wiegman-van Meppelen Scheppink
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST124652
0809tkkst31510-5
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 510, nr. 5","Motie Hessels c.s. over participatie van TenneT in een project voor het aanleggen van een elektriciteitsbuffer gehoord de beraadslaging, overwegende, dat een verregaande toename van duurzame en decentrale opwekking van elektriciteit zal leiden tot een groot beroep op de balanceringscapaciteit van het elektriciteitsnet; overwegende, dat opname van een grootschalige elektriciteitsbuffer in de hoofdinfrastructuur een belangrijk aandeel zou kunnen hebben binnen de benodigde balanceringscapaciteit; overwegende, dat deelname door netbeheerder TenneT in een dergelijke grootschalige elektriciteitsbuffer in lijn zou zijn met de taakopdracht van TenneT om het net te balanceren, waarbij TenneT maximaal de elders te besparen kosten voor balanshandhaving kan inbrengen; spreekt uit dat het wenselijk is dat – indien een dergelijke grootschalige elektriciteitsbuffer binnen een privaat project gerealiseerd wordt – deze buffer opgenomen wordt in het landelijk elektriciteitsnet; verzoekt de regering te bevorderen dat netbeheerder TenneT omwille van de balancering van het net zal participeren binnen een project om een grootschalige elektriciteitsbuffer aan te leggen,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
30bcec98-2445-4ca3-942c-66b70b2753b5,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",2008-11-24 00:00:00+01:00,"[{'Naam': 'B.J. van der Vlies', 'Fractie': 'SGP', 'Relatie': 'Medeindiener'}, {'Naam': 'A.J. Koppejan', 'Fractie': 'CDA', 'Relatie': 'Indiener'}, {'Naam': 'J.F. Snijder-Hazelhoff', 'Fractie': 'VVD', 'Relatie': 'Medeindiener'}, {'Naam': 'L. Jacobi', 'Fractie': 'PvdA', 'Relatie': 'Medeindiener'}]",CDA; PvdA; SGP; VVD,2008Z07582,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",Motie- Koppejan c.s. over het naar de Europese Commissie sturen van een nationaal aalbeheerplan ,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z07582&did=2008D17829,"31 700 XIV Vaststelling van de begrotingsstaten van het
Ministerie van Landbouw, Natuur en
Voedselkwaliteit (XIV) voor het jaar 2009
Nr. 22 MOTIE VAN HET LID KOPPEJAN C.S.
Voorgesteld tijdens het Wetgevingsoverleg van 24 november 2008
De Kamer,
gehoord de beraadslaging,
constaterende, dat het niet goed gaat met het Europese aalbestand;
constaterende, dat de EU-lidstaten hun nationale aalbeheerplan voor
goedkeuring dienen in te dienen bij de Europese Commissie;
overwegende, dat noodzakelijke maatregelen die het herstel van het
aalbestand beogen, pijnlijke gevolgen zullen hebben voor beroepsvissers
die bij hun broodwinning in belangrijke mate afhankelijk zijn van de
aalvangst;
overwegende, dat de direct betrokkenen vanuit de binnenvisserij vertegenwoordigd door de Combinatie van Beroepsvissers, de PO-IJsselmeer
en het Productschap Vis tot op heden onvoldoende inspraak hebben
gehad op het voor hen zo belangrijke aalbeheerplan;
overwegende, dat de uitvoering van een aalbeheerplan meer kans heeft
op succes naarmate er vooraf meer inspanningen zijn verricht om alle
partijen te betrekken bij de opstelling en wijze van uitvoering van de
plannen;
verzoekt de regering:
– voor 31 december 2008 een nationaal aalbeheerplan naar de Europese
Commissie te sturen waarin nog alle ruimte wordt gelaten voor een
nadere invulling en het maken van definitieve keuzes ten aanzien van
de te nemen maatregelen;
– op korte termijn alle direct betrokkenen middels hun vertegenwoordigers, alsnog inspraak te geven bij de definitieve invulling van het
aalbeheerplan en de Tweede Kamer hier voor 1 april 2009 over te
informeren,
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST125034
0809tkkst31700XIV-22
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 700 XIV, nr. 22 1
en gaat over tot de orde van de dag.
Koppejan
Jacobi
Snijder-Hazelhoff
Van der Vlies
Tweede Kamer, vergaderjaar 2008–2009, 31 700 XIV, nr. 22 2","Motie- Koppejan c.s. over het naar de Europese Commissie sturen van een nationaal aalbeheerplan gehoord de beraadslaging, constaterende, dat het niet goed gaat met het Europese aalbestand; constaterende, dat de EU-lidstaten hun nationale aalbeheerplan voor goedkeuring dienen in te dienen bij de Europese ; overwegende, dat noodzakelijke maatregelen die het herstel van het aalbestand beogen, pijnlijke gevolgen zullen hebben voor beroepsvissers die bij hun broodwinning in belangrijke mate afhankelijk zijn van de aalvangst; overwegende, dat de direct betrokkenen vanuit de binnenvisserij vertegenwoordigd door de Combinatie van Beroepsvissers, de PO-IJsselmeer en het Productschap Vis tot op heden onvoldoende inspraak hebben gehad op het voor hen zo belangrijke aalbeheerplan; overwegende, dat de uitvoering van een aalbeheerplan meer kans heeft op succes naarmate er vooraf meer inspanningen zijn verricht om alle partijen te betrekken bij de opstelling en wijze van uitvoering van de plannen; verzoekt de regering: – voor 31 december 2008 een nationaal aalbeheerplan naar de Europese te sturen waarin nog alle ruimte wordt gelaten voor een nadere invulling en het maken van definitieve keuzes ten aanzien van de te nemen maatregelen; – op korte termijn alle direct betrokkenen middels hun vertegenwoordigers, alsnog inspraak te geven bij de definitieve invulling van het aalbeheerplan en de hier voor 1 april 2009 over te informeren, 2 2008–2009 0809 31700XIV-22 0921 - 7371 2008 , 2008–2009, 31 700 XIV, 22 1",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
c400cc45-e34a-4b48-8041-22cb63907ffe,Vaststelling van de begrotingsstaten van het Ministerie van Verkeer en Waterstaat (XII) voor het jaar 2009,2008-12-03 00:00:00+01:00,"[{'Naam': 'C.C.M. Vendrik', 'Fractie': 'GroenLinks', 'Relatie': 'Indiener'}, {'Naam': 'P. de Krom', 'Fractie': 'VVD', 'Relatie': 'Medeindiener'}]",GroenLinks; VVD,2008Z08484,Vaststelling van de begrotingsstaten van het Ministerie van Verkeer en Waterstaat (XII) voor het jaar 2009,Motie Vendrik/De Krom over een plan van aanpak voor versnelde introductie van elektrische auto's,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z08484&did=2008D19796,"31 700 XII Vaststelling van de begrotingsstaten van het
Ministerie van Verkeer en Waterstaat (XII) voor
het jaar 2009
Nr. 37 MOTIE VAN DE LEDEN VENDRIK EN DE KROM
Voorgesteld 3 december 2008
De Kamer,
gehoord de beraadslaging,
constaterende, dat in de Kamer brede steun bestaat voor het creëren van
kansen voor de grootschalige introductie van schone en zuinige auto’s;
overwegende, dat elektrische auto’s op deze punten erg goed scoren;
constaterende, dat minister Eurlings in zijn brief over de kabinetsdoelstellingen voor de verkeerssector in het kader van schoon en zuinig
expliciet verwijst naar de kansen die elektrische auto’s bieden;
verzoekt de regering om een plan van aanpak voor het wegnemen van de
belemmeringen die de versnelde introductie van elektrische auto’s in de
weg staan, waarin onder meer wordt ingegaan op de fiscaliteit, het
wagenpark van de overheid, investeringen in technologische ontwikkelingen en de realisatie van elektrische infrastructuur en oplaadpunten,
en gaat over tot de orde van de dag.
Vendrik
De Krom
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST125691
0809tkkst31700XII-37
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 700 XII, nr. 37","Motie Vendrik/De Krom over een plan van aanpak voor versnelde introductie van elektrische auto's gehoord de beraadslaging, constaterende, dat in de Kamer brede steun bestaat voor het creëren van kansen voor de grootschalige introductie van schone en zuinige auto’s; overwegende, dat elektrische auto’s op deze punten erg goed scoren; constaterende, dat minister Eurlings in zijn brief over de kabinetsdoelstellingen voor de verkeerssector in het kader van schoon en zuinig expliciet verwijst naar de kansen die elektrische auto’s bieden; verzoekt de regering om een plan van aanpak voor het wegnemen van de belemmeringen die de versnelde introductie van elektrische auto’s in de weg staan, waarin onder meer wordt ingegaan op de fiscaliteit, het wagenpark van de overheid, investeringen in technologische ontwikkelingen en de realisatie van elektrische infrastructuur en oplaadpunten,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
ddbd921d-3c79-4a93-919b-126a7dafc7dc,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",2008-12-16 00:00:00+01:00,"[{'Naam': 'D.J.G. Graus', 'Fractie': 'PVV', 'Relatie': 'Indiener'}]",PVV,2008Z09646,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009","Motie Graus over het afbouwen van de kapitale subsidies aan ""natuurkolchozen"" ",Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z09646&did=2008D22300,"31 700 XIV Vaststelling van de begrotingsstaten van het
Ministerie van Landbouw, Natuur en
Voedselkwaliteit (XIV) voor het jaar 2009
Nr. 87 MOTIE VAN HET LID GRAUS
Voorgesteld 16 december 2008
De Kamer,
gehoord de beraadslaging,
verzoekt de regering de kapitale subsidies die de overheid aan «natuurkolchozen» als Staatsbosbeheer, Natuurmonumenten en Provinciale Landschappen betaalt, af te bouwen ten bate van lastenverlichting voor onze
boeren en burgers,
en gaat over tot de orde van de dag.
Graus
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST126244
0809tkkst31700XIV-87
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 700 XIV, nr. 87","Motie Graus over het afbouwen van de kapitale subsidies aan ""natuurkolchozen"" gehoord de beraadslaging, verzoekt de regering de kapitale subsidies die de overheid aan «natuurkolchozen» als Staatsbosbeheer, Natuurmonumenten en Provinciale Landschappen betaalt, af te bouwen ten bate van lastenverlichting voor onze boeren en burgers,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
ed059e37-5b2b-42f6-8986-594415f96896,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",2008-12-16 00:00:00+01:00,"[{'Naam': 'J.F. Snijder-Hazelhoff', 'Fractie': 'VVD', 'Relatie': 'Indiener'}, {'Naam': 'J.J. Atsma', 'Fractie': 'CDA', 'Relatie': 'Medeindiener'}, {'Naam': 'E.A. Cramer', 'Fractie': 'ChristenUnie', 'Relatie': 'Medeindiener'}, {'Naam': 'B.J. van der Vlies', 'Fractie': 'SGP', 'Relatie': 'Medeindiener'}]",CDA; ChristenUnie; SGP; VVD,2008Z09642,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",Motie Snijder-Hazelhoff c.s. over een juridische afbakening van het voorzorgsbeginsel van Natura 2000 ,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z09642&did=2008D22296,"31 700 XIV Vaststelling van de begrotingsstaten van het
Ministerie van Landbouw, Natuur en
Voedselkwaliteit (XIV) voor het jaar 2009
Nr. 83 MOTIE VAN HET LID SNIJDER-HAZELHOFF C.S.
Voorgesteld 16 december 2008
De Kamer,
gehoord de beraadslaging,
overwegende, dat op basis van uitspraken van de Raad van State en het
advies van de commissie-Trojan kan worden geconcludeerd dat Nederland de richtlijnen van Natura 2000 niet strenger heeft geïmplementeerd
dan noodzakelijk is;
overwegende, dat de praktische reikwijdte van Natura 2000 voor Nederland erg groot is door de spreiding van de gebieden in combinatie met
ieders externe werking;
overwegende, dat hierdoor het voorzorgsbeginsel van Natura 2000 voor
een zeer groot deel van Nederland van kracht is;
overwegende, dat dit voorzorgsbeginsel geen juridische afbakening kent,
anders dan dat deze reeds is gevormd door jurisprudentie;
van mening, dat een juridische afbakening van het voorzorgsbeginsel in
de richtlijn kan bijdragen aan het verminderen van onbedoelde negatieve
effecten voor het Nederlandse bedrijfsleven en de ruimtelijke ontwikkeling;
verzoekt de regering om de Europese evaluatie van de Vogel- en Habitatrichtlijn in 2009 aan te grijpen om tot een werkbare juridische afbakening
van het voorzorgsbeginsel te komen, waarbij een hanteerbaar kader wordt
geformuleerd voor de omgang met wetenschappelijke onzekerheid, de
schadedrempel en de toedeling van de bewijslast,
en gaat over tot de orde van de dag.
Snijder-Hazelhoff
Cramer
Atsma
Van der Vlies
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST126240
0809tkkst31700XIV-83
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 700 XIV, nr. 83 1","Motie Snijder-Hazelhoff c.s. over een juridische afbakening van het voorzorgsbeginsel van Natura 2000 gehoord de beraadslaging, overwegende, dat op basis van uitspraken van de Raad van State en het advies van de -Trojan kan worden geconcludeerd dat Nederland de richtlijnen van Natura 2000 niet strenger heeft geïmplementeerd dan noodzakelijk is; overwegende, dat de praktische reikwijdte van Natura 2000 voor Nederland erg groot is door de spreiding van de gebieden in combinatie met ieders externe werking; overwegende, dat hierdoor het voorzorgsbeginsel van Natura 2000 voor een zeer groot deel van Nederland van kracht is; overwegende, dat dit voorzorgsbeginsel geen juridische afbakening kent, anders dan dat deze reeds is gevormd door jurisprudentie; van mening, dat een juridische afbakening van het voorzorgsbeginsel in de richtlijn kan bijdragen aan het verminderen van onbedoelde negatieve effecten voor het Nederlandse bedrijfsleven en de ruimtelijke ontwikkeling; verzoekt de regering om de Europese evaluatie van de Vogel- en Habitatrichtlijn in 2009 aan te grijpen om tot een werkbare juridische afbakening van het voorzorgsbeginsel te komen, waarbij een hanteerbaar kader wordt geformuleerd voor de omgang met wetenschappelijke onzekerheid, de schadedrempel en de toedeling van de bewijslast,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
429f5bbf-a272-4e7b-aaa3-c69f4c864334,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",2008-12-16 00:00:00+01:00,"[{'Naam': 'M.L. Thieme', 'Fractie': 'PvdD', 'Relatie': 'Medeindiener'}, {'Naam': 'W. van Gent', 'Fractie': 'GroenLinks', 'Relatie': 'Medeindiener'}, {'Naam': 'E. Ouwehand', 'Fractie': 'PvdD', 'Relatie': 'Indiener'}, {'Naam': 'B. van der Ham', 'Fractie': 'D66', 'Relatie': 'Medeindiener'}]",D66; GroenLinks; PvdD,2008Z09662,"Vaststelling van de begrotingsstaten van het Ministerie van Landbouw, Natuur en Voedselkwaliteit (XIV) voor het jaar 2009",Motie Ouwehand c.s. over een plan van aanpak voor de teelt van eiwitgewassen,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2008Z09662&did=2008D22316,"31 700 XIV Vaststelling van de begrotingsstaten van het
Ministerie van Landbouw, Natuur en
Voedselkwaliteit (XIV) voor het jaar 2009
Nr. 103 MOTIE VAN HET LID OUWEHAND C.S.
Voorgesteld 16 december 2008
De Kamer,
gehoord de beraadslaging,
constaterende, dat de regering binnen de kabinetsbrede aanpak Duurzame Ontwikkeling werk wil maken van verduurzaming van de eiwitconsumptie en -productie;
van mening, dat de teelt van eiwitgewassen, zoals bonen en lupinen, in
Nederland een grote bijdrage kan leveren aan de verduurzaming van de
eiwitconsumptie en kansen biedt voor een duurzame landbouw;
verzoekt de regering samen met agrarische partners een plan van aanpak
op te stellen voor de verdere ontwikkeling en uitbreiding van de teelt van
eiwitgewassen,
en gaat over tot de orde van de dag.
Ouwehand
Thieme
Van Gent
Van der Ham
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST126263
0809tkkst31700XIV-103
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2008 Tweede Kamer, vergaderjaar 2008–2009, 31 700 XIV, nr. 103","Motie Ouwehand c.s. over een plan van aanpak voor de teelt van eiwitgewassen gehoord de beraadslaging, constaterende, dat de regering binnen de kabinetsbrede aanpak Duurzame Ontwikkeling werk wil maken van verduurzaming van de eiwitconsumptie en -productie; van mening, dat de teelt van eiwitgewassen, zoals bonen en lupinen, in Nederland een grote bijdrage kan leveren aan de verduurzaming van de eiwitconsumptie en kansen biedt voor een duurzame landbouw; verzoekt de regering samen met agrarische partners een plan van aanpak op te stellen voor de verdere ontwikkeling en uitbreiding van de teelt van eiwitgewassen,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
f1fb0afd-794d-4429-90bb-f4c42eb5e357,Wijziging van de Wet ammoniak en veehouderij,2009-02-19 00:00:00+01:00,"[{'Naam': 'J.F. Snijder-Hazelhoff', 'Fractie': 'VVD', 'Relatie': 'Indiener'}, {'Naam': 'G.P.J. Koopmans', 'Fractie': 'CDA', 'Relatie': 'Medeindiener'}, {'Naam': 'B.J. van der Vlies', 'Fractie': 'SGP', 'Relatie': 'Medeindiener'}]",CDA; SGP; VVD,2009Z03032,Wijziging van de Wet ammoniak en veehouderij,Motie Snijder-Hazelhoff c.s. over de verplichting om beheermaatregelen juridisch te verankeren,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2009Z03032&did=2009D07667,"30 654 Wijziging van de Wet ammoniak en veehouderij
Nr. 69 MOTIE VAN HET LID SNIJDER-HAZELHOFF C.S.
Voorgesteld 19 februari 2009
De Kamer,
gehoord de beraadslaging,
overwegende, de noodzaak tot juridische borging van de beheermaatregelen in de beheerplannen;
overwegende, dat de beheerplannen op zichzelf, zoals ook in de handreiking van de minister is aangegeven, geen rechtens afdwingbare maatregelen kunnen opleggen noch rechten kunnen verlenen;
overwegende, dat conform de habitatrichtlijn een lidstaat zich vrijblijvend
en desgewenst mag bedienen van dergelijke plannen;
overwegende, dat conform de richtlijn de zogenaamde beheermaatregelen verplicht juridisch verankerd dienen te worden;
verzoekt de regering zo spoedig mogelijk aan te geven wanneer en op
welke wijze aan deze verplichting invulling zal worden gegeven,
en gaat over tot de orde van de dag.
Snijder-Hazelhoff
Van der Vlies
Koopmans
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST128141
0809tkkst30654-69
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2009 Tweede Kamer, vergaderjaar 2008–2009, 30 654, nr. 69","Motie Snijder-Hazelhoff c.s. over de verplichting om beheermaatregelen juridisch te verankeren gehoord de beraadslaging, overwegende, de noodzaak tot juridische borging van de beheermaatregelen in de beheerplannen; overwegende, dat de beheerplannen op zichzelf, zoals ook in de handreiking van de minister is aangegeven, geen rechtens afdwingbare maatregelen kunnen opleggen noch rechten kunnen verlenen; overwegende, dat conform de habitatrichtlijn een lidstaat zich vrijblijvend en desgewenst mag bedienen van dergelijke plannen; overwegende, dat conform de richtlijn de zogenaamde beheermaatregelen verplicht juridisch verankerd dienen te worden; verzoekt de regering zo spoedig mogelijk aan te geven wanneer en op welke wijze aan deze verplichting invulling zal worden gegeven,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
58862d3c-a748-437c-a49a-64cf03125808,Evaluatie van de Mijnbouwwet,2009-03-18 00:00:00+01:00,"[{'Naam': 'L. Jacobi', 'Fractie': 'PvdA', 'Relatie': 'Indiener'}, {'Naam': 'P.F.C. (Paulus) Jansen', 'Fractie': 'SP', 'Relatie': 'Medeindiener'}]",PvdA; SP,2009Z04958,Evaluatie van de Mijnbouwwet,Motie Jacobi en Jansen over een schadefonds voor alle schade door bodemdaling ,Niet beschikbaar bij moties en/of amendementen vóór 1 april 2019,https://www.tweedekamer.nl/kamerstukken/moties/detail?id=2009Z04958&did=2009D12962,"31 349 Evaluatie van de Mijnbouwwet
Nr. 11 MOTIE VAN DE LEDEN JACOBI EN JANSEN
Voorgesteld 18 maart 2009
De Kamer,
gehoord de beraadslaging,
overwegende, dat burgers schade ondervinden van zout- en gaswinning
en waterpeilverlaging;
overwegende, dat het voor de burger niet uitmaakt wat de oorzaak is van
de schade;
verzoekt de regering een schadefonds (gevuld door de veroorzakers) te
creëren waarin alle schade door bodemdaling wordt vergoed, met een
één-loketfunctie,
en gaat over tot de orde van de dag.
Jacobi
Jansen
Tweede Kamer der Staten-Generaal 2
Vergaderjaar 2008–2009
KST128936
0809tkkst31349-11
ISSN 0921 - 7371
Sdu Uitgevers
’s-Gravenhage 2009 Tweede Kamer, vergaderjaar 2008–2009, 31 349, nr. 11","Motie Jacobi en Jansen over een schadefonds voor alle schade door bodemdaling gehoord de beraadslaging, overwegende, dat burgers schade ondervinden van zout- en gaswinning en waterpeilverlaging; overwegende, dat het voor de burger niet uitmaakt wat de oorzaak is van de schade; verzoekt de regering een schadefonds (gevuld door de veroorzakers) te creëren waarin alle schade door bodemdaling wordt vergoed, met een één-loketfunctie,",1,climate_agriculture_energy,1,1,1,1,1,1,1,economic,1,0,False
