doc_id,frame,trigger,role,filler,entity_type,source,manifesto_id,party,year,phrase_text
0000_bbb_2021,Attempt_suasion,vertegenwoordigd,Content,de stem van én voor het platteland,ORG.Government,manifestos,manifesto_0000_bbb_2021,bbb,2021,"Zeker nu groen (weilanden, coulissenlandschappen) dreigt te worden ingeruild voor grijs (industrie, zonneparken, distributie- en datacentra, wegen) is het meer dan noodzakelijk dat de stem van én voor het platteland wordt vertegenwoordigd in Den Haag."
0002_bbb_2021,Leadership,overheid,Leader,overheid,ORG.Government,manifestos,manifesto_0002_bbb_2021,bbb,2021,"Het kwartje van Kok moet, zoals 30 jaar geleden al beloofd, nu eindelijk maar eens worden afgeschaft. Met andere woorden: de brandstofaccijnzen moeten worden teruggebracht met dit bedrag. Dit levert het bedrijfsleven een grote kostenbesparing op en de overheid toont zich dan eindelijk een betrouwbare partner."
0002_bbb_2021,Bringing,teruggebracht,Theme,de brandstofaccijnzen,FAC.Structure,manifestos,manifesto_0002_bbb_2021,bbb,2021,"Het kwartje van Kok moet, zoals 30 jaar geleden al beloofd, nu eindelijk maar eens worden afgeschaft. Met andere woorden: de brandstofaccijnzen moeten worden teruggebracht met dit bedrag. Dit levert het bedrijfsleven een grote kostenbesparing op en de overheid toont zich dan eindelijk een betrouwbare partner."
0004_bbb_2021,Placing,aanleg,Goal,"op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond.",FAC.Structure,manifestos,manifesto_0004_bbb_2021,bbb,2021,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt."
0004_bbb_2021,Placing,aanleg,Theme,van panelen,FAC.Way,manifestos,manifesto_0004_bbb_2021,bbb,2021,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt."
0004_bbb_2021,Placing,aangebracht.,Goal,in vangrails,FAC.Structure,manifestos,manifesto_0004_bbb_2021,bbb,2021,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt."
0004_bbb_2021,Placing,aangebracht.,Theme,veel groene energie,FAC.Way,manifestos,manifesto_0004_bbb_2021,bbb,2021,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt."
0004_bbb_2021,Placing,aangebracht.,Theme,kleine zonnepaneeltjes,FAC.Way,manifestos,manifesto_0004_bbb_2021,bbb,2021,"Subsidies voor zonnepanelen worden gebruikt voor de aanleg van panelen op bedrijfsdaken en geluidsschermen, in plaats van op (landbouw)grond. Nederland telt ruim 139.000 kilometer verharde wegen. Onderzocht moet worden of in vangrails kleine zonnepaneeltjes kunnen worden aangebracht. Zo wordt landschapsvervuiling tegengegaan en kan veel groene energie worden opgewekt."
0009_bbb_2021,Causation,zorgt,Cause,In steden wordt meer groen aangelegd voor de recreatie en ontspanning van de stadsbewoners.,PER,manifestos,manifesto_0009_bbb_2021,bbb,2021,In steden wordt meer groen aangelegd voor de recreatie en ontspanning van de stadsbewoners. Dit is goed voor het klimaat en zorgt voor minder hoge temperaturen in de volle en drukke stad.
0009_bbb_2021,Causation,zorgt,Cause,Dit,GPE.UrbanArea.City,manifestos,manifesto_0009_bbb_2021,bbb,2021,In steden wordt meer groen aangelegd voor de recreatie en ontspanning van de stadsbewoners. Dit is goed voor het klimaat en zorgt voor minder hoge temperaturen in de volle en drukke stad.
0009_bbb_2021,Placing,aangelegd,Theme,meer groen,FAC.Way.Street,manifestos,manifesto_0009_bbb_2021,bbb,2021,In steden wordt meer groen aangelegd voor de recreatie en ontspanning van de stadsbewoners. Dit is goed voor het klimaat en zorgt voor minder hoge temperaturen in de volle en drukke stad.
0013_bbb_2023,Bringing,nemen,Agent,We,PER,manifestos,manifesto_0013_bbb_2023,bbb,2023,"We leven zo goed als mogelijk in balans met de omgeving. We moeten ons land goed achterlaten voor de volgende generatie. Op het gebied van grote vraagstukken als immigratie en klimaat, nemen we verantwoordelijkheid. Wel moet je realistisch zijn over dat wat je kan dragen als samenleving. We nemen niet de hele wereld op onze schouders, maar kijken wat haalbaar en draagbaar is. Dat doen we in samenspraak met burgers. We investeren in de verbinding tussen stad en platteland en in een duurzame toekomst."
0013_bbb_2023,Bringing,nemen,Theme,"op onze schouders,",PER,manifestos,manifesto_0013_bbb_2023,bbb,2023,"We leven zo goed als mogelijk in balans met de omgeving. We moeten ons land goed achterlaten voor de volgende generatie. Op het gebied van grote vraagstukken als immigratie en klimaat, nemen we verantwoordelijkheid. Wel moet je realistisch zijn over dat wat je kan dragen als samenleving. We nemen niet de hele wereld op onze schouders, maar kijken wat haalbaar en draagbaar is. Dat doen we in samenspraak met burgers. We investeren in de verbinding tussen stad en platteland en in een duurzame toekomst."
0013_bbb_2023,Bringing,nemen,Theme,de hele wereld,GPE.Country.Country,manifestos,manifesto_0013_bbb_2023,bbb,2023,"We leven zo goed als mogelijk in balans met de omgeving. We moeten ons land goed achterlaten voor de volgende generatie. Op het gebied van grote vraagstukken als immigratie en klimaat, nemen we verantwoordelijkheid. Wel moet je realistisch zijn over dat wat je kan dragen als samenleving. We nemen niet de hele wereld op onze schouders, maar kijken wat haalbaar en draagbaar is. Dat doen we in samenspraak met burgers. We investeren in de verbinding tussen stad en platteland en in een duurzame toekomst."
0013_bbb_2023,Intentionally_act,doen,Agent,we,PER,manifestos,manifesto_0013_bbb_2023,bbb,2023,"We leven zo goed als mogelijk in balans met de omgeving. We moeten ons land goed achterlaten voor de volgende generatie. Op het gebied van grote vraagstukken als immigratie en klimaat, nemen we verantwoordelijkheid. Wel moet je realistisch zijn over dat wat je kan dragen als samenleving. We nemen niet de hele wereld op onze schouders, maar kijken wat haalbaar en draagbaar is. Dat doen we in samenspraak met burgers. We investeren in de verbinding tussen stad en platteland en in een duurzame toekomst."
0023_bbb_2023,Causation,leidt.,Cause,wat,PER,manifestos,manifesto_0023_bbb_2023,bbb,2023,"We zetten in op het heronderhandelen van een EU-Mercosur-verdrag (producten uit Argentinië, Brazilië, Paraguay en Uruguay). Dit verdrag leidt tot oneerlijke concurrentie voor Europese boeren, wat weer tot extra ontbossing van het Amazone regenwoud leidt. Zo helpen we niet alleen ons land maar de wereld te verduurzamen."
