sample_id,predicted_topic,gold_label,normalized_text
0,climate_agriculture_energy,climate_agriculture_energy,"Motie van het lid Tjeerd de Groot over een strategische analyse van kwetsbaarheden van het mondiale voedselsysteem in relatie tot grondgebruik gehoord de beraadslaging, overwegende dat de crisis in Oekraïne kwetsbaarheden in het mondiale voedselsysteem blootlegt; overwegende dat naast klimaatverandering ook de aard van het grondgebruik een belangrijke factor is in de wereldvoedselvoorziening; overwegende dat hoge voedselprijzen in combinatie met andere factoren kunnen leiden tot politieke instabiliteit in kwetsbare landen; overwegende dat globaal slechts een derde van het areaal vruchtbare grond wordt gebruikt voor de teelt van gewassen voor humane consumptie; verzoekt de regering een strategische analyse te laten uitvoeren naar kwetsbaarheden van het mondiale voedselsysteem in relatie tot grondgebruik,"
1,not_relevant,not_relevant,"Motie van het lid Popken over cyber en space duidelijk specificeren in Defensiebegroting gehoord de beraadslaging, constaterende dat het belang van cyber en space de komende jaren alleen maar zal toenemen; constaterende dat deze twee genoemde militaire domeinen onvoldoende helder terugkomen in de Defensiebegroting; constaterende dat het werkgebied space zelfs helemaal niet genoemd staat in de Defensienota, noch in de Cyber Strategie, noch in de Defensiebegroting; verzoekt de regering, vanaf volgend jaar in de Defensiebegroting cyber en space duidelijk te specificeren en uit te werken, zodat inzichtelijk wordt welke activiteiten c.q. doelstellingen gesteld worden en welke financiële middelen hiervoor beschikbaar gesteld worden,"
2,not_relevant,not_relevant,"Motie van het lid Van Baarle over periodiek mysteryguestonderzoek om stagediscriminatie te signaleren gehoord de beraadslaging, constaterende dat stagediscriminatie een hardnekkig probleem is; overwegende dat mysteryguestonderzoek kan helpen om discriminatie op de stagemarkt te signaleren en met bedrijven in gesprek te treden, alsmede kan leiden tot een afschrikkende werking; verzoekt de regering om periodiek mysteryguestonderzoek uit te laten voeren om stagediscriminatie te signaleren en te bezien hoe de uitkomsten van dit onderzoek gebruikt kunnen worden om beterschap te bewerkstelligen bij bedrijven,"
3,not_relevant,not_relevant,"Motie van de leden Swinkels en Van Tongeren over verbeteren van de omgang van instanties met sekswerkers uit de legale sector gehoord de beraadslaging, constaterende dat nog steeds een maatschappelijk stigma rust op het beroep sekswerk; constaterende dat uit het onderzoek van Regioplan «Sekswerkers aan het woord» uit 2014 blijkt dat sekswerkers in de legale sector nog steeds problemen ondervinden in de omgang met diverse instanties zoals de sociale dienst, het UWV, de Belastingdienst en banken; constaterende dat uit hetzelfde onderzoek van Regioplan blijkt dat deze situatie sinds 2006 nog steeds niet verbeterd is; overwegende dat de sociale positie van sekswerkers versterkt kan worden door laagdrempelige toegang tot (overheids-)instanties; verzoekt de regering, zich actief in te zetten om de omgang van instanties met sekswerkers uit de legale sector te verbeteren en de Kamer over deze aanpak voor de plenaire behandeling van de Wet regulering prostitutie te informeren,"
4,climate_agriculture_energy,climate_agriculture_energy,"Motie Koppejan c.s. over een bestuursakkoord tussen Rijk en waterschappen gehoord de beraadslaging, overwegende, dat met dit wetsvoorstel de waterschappen per 2011 de financiering van de muskusrattenbestrijding en gedeeltelijk de financiering van de verbetering van de primaire keringen, gezamenlijk goed voor 100 mln. per jaar, overnemen; overwegende, dat dit wetsvoorstel niet voorziet in de maatregelen die nodig zijn om de waterschappen deze bijdrage via inverdieneffecten terug te laten verdienen; verzoekt de regering voor 1 maart 2011 een bestuursakkoord te sluiten tussen de waterschappen en het Rijk, waarin beide partijen zich verbinden aan de uitvoering van het voorstel Doelmatig Waterbeheer waarin in elk geval concrete afspraken worden gemaakt over: – het voor burgers en bedrijven lastenneutraal opvangen van de 100 mln. per jaar; – een jaarlijkse prestatievergelijking van waterschappen waar lasten- en kostenontwikkeling standaard deel van uitmaken; – overige voorstellen van waterschappen over doelmatiger waterbeheer, de verantwoordelijkheid over het Hoogwaterbeschermingsprogramma en de maatregelen om de waterschappen in staat te stellen, via inverdieneffecten de kosten van muskusrattenbestrijding en gedeeltelijke financiering van de verbetering van de primaire keringen, terug te laten verdienen, , 2010–2011, 32 474, 17 1"
5,not_relevant,not_relevant,"Motie-Marcouch over een gezamenlijke aanpak van hatecrimes gehoord de beraadslaging, constaterende, dat het onacceptabel is dat LHBT-personen worden gediscrimineerd, geïntimideerd en gepest; constaterende, dat het onacceptabel is dat LHBT-personen zich vanwege intimidatie onveilig voelen in hun eigen woning en wijk; constaterende, dat discriminatie, intimidatie en pesten zo ver gaat dat LHBT-personen zelfs moeten verhuizen; constaterende, dat inwoners in een wijk, bestuurders en de politie nog geen daadkrachtige aanpak hebben tegen het pesten en intimideren van een homoseksuele buurtbewoner; verzoekt de regering de gemeenten, de woningbouwcorporaties en de politie meer instrumenten en richtlijnen te geven voor een gezamenlijke aanpak van «hatecrimes» in wijken waarbij in ieder geval de kosten van de verhuizing verhaald worden op de daders, waarbij in ieder geval de verhuizing geëist wordt van de daders in plaats van de slachtoffers en waar buurtallianties worden opgericht en ingezet om de veiligheid van buurtbewoners te vergroten en te monitoren,"
6,climate_agriculture_energy,climate_agriculture_energy,"Motie van het lid Holman over de afroming van dierrechten in de varkenshouderij in stand houden gehoord de beraadslaging, overwegende dat er dit jaar vrijwel zeker sprake zal zijn van een forse overschrijding van het mestplafond; overwegende dat het afschaffen van afroming bij dierrechten voor varkens en pluimvee slecht zal vallen bij de Europese , en dit de kans op het verkrijgen of behouden van derogatie aanzienlijk verkleint; overwegende dat de pluimveehouderij haar mestafzet goed heeft geregeld, terwijl de varkenshouderij behoorlijk bijdraagt aan het algehele mestoverschot; overwegende dat de verlaging van de gebruiksnorm naar 170 kilo stikstof per hectare ertoe zal leiden dat in 2025 naar schatting 15% tot 20% van de mest niet meer kan worden geplaatst in Nederland; overwegende dat dit de dreiging van een opgelegde generieke korting voor de melkveehouderij aanzienlijk vergroot; verzoekt de regering de afroming van dierrechten in de varkenshouderij in stand te houden,"
7,not_relevant,not_relevant,"Motie van het lid Klein over strenger optreden tegen leeftijdsdiscriminatie gehoord de beraadslaging, constaterende dat de AOW-gerechtigde leeftijd nu stapsgewijs omhoog gaat, maar dat tegelijkertijd de werkloosheid onder 50-plussers nog altijd stijgt; constaterende dat het aantal meldingen van leeftijdsdiscriminatie bij het Meldpunt Discriminatie nog altijd stijgt, ondanks het bestaan van de Wet gelijke behandeling op grond van leeftijd (WGBL) en het actieprogramma 50+ Werkt; overwegende dat 50-plussers vaak genegeerd worden door werkgevers, bijvoorbeeld doordat uitzendbureaus deze groep weigeren in te schrijven, of door eisen op te nemen in vacatures, zoals een maximum aan werkervaring, die leiden tot indirecte leeftijdsdiscriminatie; verzoekt de regering, strenger op te treden tegen directe en indirecte leeftijdsdiscriminatie op de arbeidsmarkt,"
8,climate_agriculture_energy,climate_agriculture_energy,"Motie van het lid Wassenberg over extra budget voor verdere verduurzaming gehoord de beraadslaging, constaterende dat er onvoldoende budget voor verduurzaming van het Binnenhof is begroot; spreekt uit dat verduurzaming van het Binnenhof geen luxe is, maar noodzaak; verzoekt de regering om, te zoeken naar extra budget voor verdere verduurzaming,"
9,not_relevant,not_relevant,"Motie van het lid Van der Burg over afspraken met nieuwe aanbieders gehoord de beraadslaging, constaterende dat nieuwe zorgaanbieders moeilijkheden ondervinden bij het sluiten van contracten met verzekeraars en provincies; van mening dat toetreding van nieuwe zorgaanbieders die aan de kwaliteitseisen voldoen een toegevoegde waarde kent, omdat ze op vernieuwende wijze werken en de efficiëntie in de jeugdzorg verhogen; overwegende dat zonder contracten met verzekeraars en provincies noodzakelijke vernieuwende werkwijzen en grotere efficiency verloren dreigen te gaan; verzoekt de regering, zo snel mogelijk met verzekeraars en provincies in gesprek te gaan over het contracteren van nieuwe aanbieders en hier afspraken over te maken, zodat deze nieuwe aanbieders een gelijkwaardige kans krijgen in het contracteringsproces; verzoekt de regering, de Kamer hierover zo snel mogelijk te informeren, doch uiterlijk voor 31 januari 2013,"
